GEOID,SUMLEVEL,SUMLEVEL,ST,COUNTY,BLKGRP,B01003_001E,Total,WhiteAlone,BlackOrAfricanAmerican,AmericanIndian,AsianAlone,NativeHawiian,OtherRaceAlone,TwoOrMore,COMPONENT,NAME,STUSAB,BTTR,BTBG,TRACT
15000US060371033001,150,150,6,37,1,1620,1620,1383,2,0,89,0,65,81,0,"Block Group 1, Census Tract 1033, Los Angeles County, California",CA,null,null,103300
15000US060371033002,150,150,6,37,2,1629,1629,1452,10,0,44,0,60,63,0,"Block Group 2, Census Tract 1033, Los Angeles County, California",CA,null,null,103300
15000US060371034001,150,150,6,37,1,1388,1388,1153,0,0,45,0,0,190,0,"Block Group 1, Census Tract 1034, Los Angeles County, California",CA,null,null,103400
15000US060371034002,150,150,6,37,2,988,988,625,7,7,100,0,185,64,0,"Block Group 2, Census Tract 1034, Los Angeles County, California",CA,null,null,103400
15000US060371034003,150,150,6,37,3,484,484,460,0,0,16,0,0,8,0,"Block Group 3, Census Tract 1034, Los Angeles County, California",CA,null,null,103400
15000US060371034004,150,150,6,37,4,1185,1185,999,3,0,60,0,44,79,0,"Block Group 4, Census Tract 1034, Los Angeles County, California",CA,null,null,103400
15000US060371034005,150,150,6,37,5,2652,2652,1852,152,14,261,0,37,336,0,"Block Group 5, Census Tract 1034, Los Angeles County, California",CA,null,null,103400
15000US060371041031,150,150,6,37,1,2170,2170,1296,276,83,130,4,289,92,0,"Block Group 1, Census Tract 1041.03, Los Angeles County, California",CA,null,null,104103
15000US060371041032,150,150,6,37,2,1403,1403,664,232,9,250,4,221,23,0,"Block Group 2, Census Tract 1041.03, Los Angeles County, California",CA,null,null,104103
15000US060371041051,150,150,6,37,1,1593,1593,417,396,0,265,0,503,12,0,"Block Group 1, Census Tract 1041.05, Los Angeles County, California",CA,null,null,104105
15000US060371041052,150,150,6,37,2,4078,4078,2320,134,13,164,0,1275,172,0,"Block Group 2, Census Tract 1041.05, Los Angeles County, California",CA,null,null,104105
15000US060371041081,150,150,6,37,1,2239,2239,1118,200,0,20,0,880,21,0,"Block Group 1, Census Tract 1041.08, Los Angeles County, California",CA,null,null,104108
15000US060371041082,150,150,6,37,2,2169,2169,1230,184,9,125,0,594,27,0,"Block Group 2, Census Tract 1041.08, Los Angeles County, California",CA,null,null,104108
15000US060371041083,150,150,6,37,3,987,987,345,80,16,0,0,410,136,0,"Block Group 3, Census Tract 1041.08, Los Angeles County, California",CA,null,null,104108
15000US060371041241,150,150,6,37,1,1783,1783,1277,64,0,0,0,374,68,0,"Block Group 1, Census Tract 1041.24, Los Angeles County, California",CA,null,null,104124
15000US060371041242,150,150,6,37,2,1949,1949,1183,498,0,145,0,82,41,0,"Block Group 2, Census Tract 1041.24, Los Angeles County, California",CA,null,null,104124
15000US060371041243,150,150,6,37,3,546,546,505,0,0,3,0,38,0,0,"Block Group 3, Census Tract 1041.24, Los Angeles County, California",CA,null,null,104124
15000US060371042011,150,150,6,37,1,1372,1372,734,282,0,0,0,356,0,0,"Block Group 1, Census Tract 1042.01, Los Angeles County, California",CA,null,null,104201
15000US060371042012,150,150,6,37,2,2327,2327,1726,224,24,0,0,278,75,0,"Block Group 2, Census Tract 1042.01, Los Angeles County, California",CA,null,null,104201
15000US060371042013,150,150,6,37,3,998,998,720,130,0,0,0,112,36,0,"Block Group 3, Census Tract 1042.01, Los Angeles County, California",CA,null,null,104201
15000US060371042031,150,150,6,37,1,2508,2508,1203,57,0,201,0,1047,0,0,"Block Group 1, Census Tract 1042.03, Los Angeles County, California",CA,null,null,104203
15000US060371042032,150,150,6,37,2,2104,2104,1472,246,0,0,0,386,0,0,"Block Group 2, Census Tract 1042.03, Los Angeles County, California",CA,null,null,104203
15000US060371042041,150,150,6,37,1,1593,1593,894,199,74,59,0,306,61,0,"Block Group 1, Census Tract 1042.04, Los Angeles County, California",CA,null,null,104204
15000US060371042042,150,150,6,37,2,2035,2035,1043,56,0,193,0,663,80,0,"Block Group 2, Census Tract 1042.04, Los Angeles County, California",CA,null,null,104204
15000US060371043101,150,150,6,37,1,1420,1420,904,123,96,0,0,262,35,0,"Block Group 1, Census Tract 1043.10, Los Angeles County, California",CA,null,null,104310
15000US060371043102,150,150,6,37,2,1756,1756,1104,184,45,0,0,368,55,0,"Block Group 2, Census Tract 1043.10, Los Angeles County, California",CA,null,null,104310
15000US060371043103,150,150,6,37,3,1549,1549,862,0,0,0,0,679,8,0,"Block Group 3, Census Tract 1043.10, Los Angeles County, California",CA,null,null,104310
15000US060371043201,150,150,6,37,1,2740,2740,1489,133,0,6,0,981,131,0,"Block Group 1, Census Tract 1043.20, Los Angeles County, California",CA,null,null,104320
15000US060371043202,150,150,6,37,2,1778,1778,296,7,36,59,0,1371,9,0,"Block Group 2, Census Tract 1043.20, Los Angeles County, California",CA,null,null,104320
15000US060371043203,150,150,6,37,3,534,534,392,25,84,0,0,33,0,0,"Block Group 3, Census Tract 1043.20, Los Angeles County, California",CA,null,null,104320
15000US060371043204,150,150,6,37,4,731,731,311,55,0,0,0,365,0,0,"Block Group 4, Census Tract 1043.20, Los Angeles County, California",CA,null,null,104320
15000US060371044011,150,150,6,37,1,1394,1394,1264,11,41,0,0,78,0,0,"Block Group 1, Census Tract 1044.01, Los Angeles County, California",CA,null,null,104401
15000US060371044012,150,150,6,37,2,1896,1896,1493,6,0,0,0,397,0,0,"Block Group 2, Census Tract 1044.01, Los Angeles County, California",CA,null,null,104401
15000US060371044031,150,150,6,37,1,2042,2042,1060,5,0,19,0,951,7,0,"Block Group 1, Census Tract 1044.03, Los Angeles County, California",CA,null,null,104403
15000US060371044032,150,150,6,37,2,1226,1226,714,0,3,0,0,499,10,0,"Block Group 2, Census Tract 1044.03, Los Angeles County, California",CA,null,null,104403
15000US060371044041,150,150,6,37,1,925,925,504,29,0,22,0,370,0,0,"Block Group 1, Census Tract 1044.04, Los Angeles County, California",CA,null,null,104404
15000US060371044042,150,150,6,37,2,1866,1866,1378,0,46,4,0,369,69,0,"Block Group 2, Census Tract 1044.04, Los Angeles County, California",CA,null,null,104404
15000US060371045001,150,150,6,37,1,725,725,324,0,0,0,0,385,16,0,"Block Group 1, Census Tract 1045, Los Angeles County, California",CA,null,null,104500
15000US060371045002,150,150,6,37,2,2345,2345,2042,0,0,0,0,266,37,0,"Block Group 2, Census Tract 1045, Los Angeles County, California",CA,null,null,104500
15000US060371046101,150,150,6,37,1,2357,2357,1516,0,0,0,0,723,118,0,"Block Group 1, Census Tract 1046.10, Los Angeles County, California",CA,null,null,104610
15000US060371046102,150,150,6,37,2,1197,1197,685,0,0,0,0,472,40,0,"Block Group 2, Census Tract 1046.10, Los Angeles County, California",CA,null,null,104610
15000US060371046201,150,150,6,37,1,1084,1084,861,0,0,0,0,223,0,0,"Block Group 1, Census Tract 1046.20, Los Angeles County, California",CA,null,null,104620
15000US060371046202,150,150,6,37,2,2318,2318,1097,0,11,0,0,1117,93,0,"Block Group 2, Census Tract 1046.20, Los Angeles County, California",CA,null,null,104620
15000US060371047011,150,150,6,37,1,1281,1281,499,125,0,0,0,622,35,0,"Block Group 1, Census Tract 1047.01, Los Angeles County, California",CA,null,null,104701
15000US060371047012,150,150,6,37,2,1854,1854,1312,108,0,10,0,414,10,0,"Block Group 2, Census Tract 1047.01, Los Angeles County, California",CA,null,null,104701
15000US060371047013,150,150,6,37,3,973,973,438,81,0,0,0,454,0,0,"Block Group 3, Census Tract 1047.01, Los Angeles County, California",CA,null,null,104701
15000US060371047031,150,150,6,37,1,1138,1138,748,30,0,0,0,333,27,0,"Block Group 1, Census Tract 1047.03, Los Angeles County, California",CA,null,null,104703
15000US060371047032,150,150,6,37,2,962,962,439,10,0,0,13,495,5,0,"Block Group 2, Census Tract 1047.03, Los Angeles County, California",CA,null,null,104703
15000US060371047041,150,150,6,37,1,4095,4095,2159,577,31,149,0,1020,159,0,"Block Group 1, Census Tract 1047.04, Los Angeles County, California",CA,null,null,104704
15000US060371048101,150,150,6,37,1,1531,1531,1047,24,0,0,0,388,72,0,"Block Group 1, Census Tract 1048.10, Los Angeles County, California",CA,null,null,104810
15000US060371048102,150,150,6,37,2,1200,1200,729,28,0,0,0,417,26,0,"Block Group 2, Census Tract 1048.10, Los Angeles County, California",CA,null,null,104810
15000US060371048103,150,150,6,37,3,2519,2519,1618,1,24,92,0,735,49,0,"Block Group 3, Census Tract 1048.10, Los Angeles County, California",CA,null,null,104810
15000US060371048211,150,150,6,37,1,2481,2481,1563,64,0,21,0,833,0,0,"Block Group 1, Census Tract 1048.21, Los Angeles County, California",CA,null,null,104821
15000US060371048212,150,150,6,37,2,939,939,740,0,0,0,0,186,13,0,"Block Group 2, Census Tract 1048.21, Los Angeles County, California",CA,null,null,104821
15000US060371048221,150,150,6,37,1,2031,2031,1312,5,50,116,0,548,0,0,"Block Group 1, Census Tract 1048.22, Los Angeles County, California",CA,null,null,104822
15000US060371060101,150,150,6,37,1,2636,2636,1697,56,53,90,0,598,142,0,"Block Group 1, Census Tract 1060.10, Los Angeles County, California",CA,null,null,106010
15000US060371060201,150,150,6,37,1,3012,3012,1255,260,39,99,0,1229,130,0,"Block Group 1, Census Tract 1060.20, Los Angeles County, California",CA,null,null,106020
15000US060371060202,150,150,6,37,2,2900,2900,1362,18,46,136,0,1194,144,0,"Block Group 2, Census Tract 1060.20, Los Angeles County, California",CA,null,null,106020
15000US060371061111,150,150,6,37,1,1862,1862,1236,21,30,81,0,321,173,0,"Block Group 1, Census Tract 1061.11, Los Angeles County, California",CA,null,null,106111
15000US060371061112,150,150,6,37,2,2484,2484,1525,104,32,232,0,505,86,0,"Block Group 2, Census Tract 1061.11, Los Angeles County, California",CA,null,null,106111
15000US060371061121,150,150,6,37,1,2259,2259,1821,4,8,61,0,288,77,0,"Block Group 1, Census Tract 1061.12, Los Angeles County, California",CA,null,null,106112
15000US060371061122,150,150,6,37,2,3563,3563,2102,56,0,542,0,722,141,0,"Block Group 2, Census Tract 1061.12, Los Angeles County, California",CA,null,null,106112
15000US060371061131,150,150,6,37,1,1765,1765,1055,68,53,156,0,376,57,0,"Block Group 1, Census Tract 1061.13, Los Angeles County, California",CA,null,null,106113
15000US060371061132,150,150,6,37,2,1866,1866,1069,45,0,99,0,555,98,0,"Block Group 2, Census Tract 1061.13, Los Angeles County, California",CA,null,null,106113
15000US060371061141,150,150,6,37,1,4085,4085,2392,279,25,178,0,948,263,0,"Block Group 1, Census Tract 1061.14, Los Angeles County, California",CA,null,null,106114
15000US060371061142,150,150,6,37,2,1477,1477,1016,10,0,0,0,451,0,0,"Block Group 2, Census Tract 1061.14, Los Angeles County, California",CA,null,null,106114
15000US060371064031,150,150,6,37,1,865,865,696,0,2,61,0,67,39,0,"Block Group 1, Census Tract 1064.03, Los Angeles County, California",CA,null,null,106403
15000US060371064032,150,150,6,37,2,1324,1324,685,0,0,43,0,576,20,0,"Block Group 2, Census Tract 1064.03, Los Angeles County, California",CA,null,null,106403
15000US060371064033,150,150,6,37,3,959,959,867,0,0,0,0,79,13,0,"Block Group 3, Census Tract 1064.03, Los Angeles County, California",CA,null,null,106403
15000US060371064051,150,150,6,37,1,1514,1514,483,52,0,133,0,721,125,0,"Block Group 1, Census Tract 1064.05, Los Angeles County, California",CA,null,null,106405
15000US060371064052,150,150,6,37,2,986,986,614,32,0,70,0,270,0,0,"Block Group 2, Census Tract 1064.05, Los Angeles County, California",CA,null,null,106405
15000US060371064053,150,150,6,37,3,702,702,407,109,10,66,0,100,10,0,"Block Group 3, Census Tract 1064.05, Los Angeles County, California",CA,null,null,106405
15000US060371064061,150,150,6,37,1,3166,3166,1662,208,16,94,0,1038,148,0,"Block Group 1, Census Tract 1064.06, Los Angeles County, California",CA,null,null,106406
15000US060371064062,150,150,6,37,2,553,553,444,0,0,5,0,104,0,0,"Block Group 2, Census Tract 1064.06, Los Angeles County, California",CA,null,null,106406
15000US060371064063,150,150,6,37,3,1323,1323,458,70,9,319,0,457,10,0,"Block Group 3, Census Tract 1064.06, Los Angeles County, California",CA,null,null,106406
15000US060371064071,150,150,6,37,1,1542,1542,848,117,4,66,0,476,31,0,"Block Group 1, Census Tract 1064.07, Los Angeles County, California",CA,null,null,106407
15000US060371064072,150,150,6,37,2,1130,1130,705,59,6,65,0,289,6,0,"Block Group 2, Census Tract 1064.07, Los Angeles County, California",CA,null,null,106407
15000US060371064081,150,150,6,37,1,3123,3123,1872,42,5,187,0,952,65,0,"Block Group 1, Census Tract 1064.08, Los Angeles County, California",CA,null,null,106408
15000US060371064082,150,150,6,37,2,660,660,391,0,0,51,0,218,0,0,"Block Group 2, Census Tract 1064.08, Los Angeles County, California",CA,null,null,106408
15000US060371065101,150,150,6,37,1,1733,1733,1160,183,0,116,0,269,5,0,"Block Group 1, Census Tract 1065.10, Los Angeles County, California",CA,null,null,106510
15000US060371065102,150,150,6,37,2,1732,1732,1177,21,0,27,0,507,0,0,"Block Group 2, Census Tract 1065.10, Los Angeles County, California",CA,null,null,106510
15000US060371065103,150,150,6,37,3,1555,1555,854,134,0,185,0,320,62,0,"Block Group 3, Census Tract 1065.10, Los Angeles County, California",CA,null,null,106510
15000US060371065201,150,150,6,37,1,1937,1937,1378,0,0,60,0,358,141,0,"Block Group 1, Census Tract 1065.20, Los Angeles County, California",CA,null,null,106520
15000US060371065202,150,150,6,37,2,1468,1468,992,16,0,11,0,449,0,0,"Block Group 2, Census Tract 1065.20, Los Angeles County, California",CA,null,null,106520
15000US060371065203,150,150,6,37,3,1892,1892,1675,0,0,0,0,151,66,0,"Block Group 3, Census Tract 1065.20, Los Angeles County, California",CA,null,null,106520
15000US060371066031,150,150,6,37,1,1749,1749,1101,116,0,322,0,81,129,0,"Block Group 1, Census Tract 1066.03, Los Angeles County, California",CA,null,null,106603
15000US060371066032,150,150,6,37,2,1451,1451,954,42,10,274,0,100,71,0,"Block Group 2, Census Tract 1066.03, Los Angeles County, California",CA,null,null,106603
15000US060371066041,150,150,6,37,1,223,223,122,53,0,0,0,48,0,0,"Block Group 1, Census Tract 1066.04, Los Angeles County, California",CA,null,null,106604
15000US060371066042,150,150,6,37,2,2211,2211,1297,76,0,75,36,715,12,0,"Block Group 2, Census Tract 1066.04, Los Angeles County, California",CA,null,null,106604
15000US060371066043,150,150,6,37,3,718,718,471,0,0,0,0,130,117,0,"Block Group 3, Census Tract 1066.04, Los Angeles County, California",CA,null,null,106604
15000US060371066044,150,150,6,37,4,1497,1497,1132,0,0,179,0,99,87,0,"Block Group 4, Census Tract 1066.04, Los Angeles County, California",CA,null,null,106604
15000US060371066411,150,150,6,37,1,2127,2127,1497,5,0,461,0,44,120,0,"Block Group 1, Census Tract 1066.41, Los Angeles County, California",CA,null,null,106641
15000US060371066421,150,150,6,37,1,1273,1273,831,152,0,44,0,43,203,0,"Block Group 1, Census Tract 1066.42, Los Angeles County, California",CA,null,null,106642
15000US060371066422,150,150,6,37,2,967,967,793,28,22,63,0,0,61,0,"Block Group 2, Census Tract 1066.42, Los Angeles County, California",CA,null,null,106642
15000US060371066423,150,150,6,37,3,1237,1237,789,15,0,242,0,191,0,0,"Block Group 3, Census Tract 1066.42, Los Angeles County, California",CA,null,null,106642
15000US060371066431,150,150,6,37,1,3028,3028,1778,541,32,389,0,32,256,0,"Block Group 1, Census Tract 1066.43, Los Angeles County, California",CA,null,null,106643
15000US060371066432,150,150,6,37,2,679,679,547,0,0,124,0,0,8,0,"Block Group 2, Census Tract 1066.43, Los Angeles County, California",CA,null,null,106643
15000US060371066433,150,150,6,37,3,626,626,516,0,0,82,0,22,6,0,"Block Group 3, Census Tract 1066.43, Los Angeles County, California",CA,null,null,106643
15000US060371066451,150,150,6,37,1,1179,1179,696,49,0,279,0,111,44,0,"Block Group 1, Census Tract 1066.45, Los Angeles County, California",CA,null,null,106645
15000US060371066452,150,150,6,37,2,2308,2308,1802,162,0,178,0,85,81,0,"Block Group 2, Census Tract 1066.45, Los Angeles County, California",CA,null,null,106645
15000US060371066461,150,150,6,37,1,2042,2042,1535,24,0,371,0,24,88,0,"Block Group 1, Census Tract 1066.46, Los Angeles County, California",CA,null,null,106646
15000US060371066462,150,150,6,37,2,1578,1578,1215,20,0,294,0,42,7,0,"Block Group 2, Census Tract 1066.46, Los Angeles County, California",CA,null,null,106646
15000US060371066481,150,150,6,37,1,3150,3150,2359,2,47,77,0,566,99,0,"Block Group 1, Census Tract 1066.48, Los Angeles County, California",CA,null,null,106648
15000US060371066482,150,150,6,37,2,1245,1245,941,31,0,0,0,273,0,0,"Block Group 2, Census Tract 1066.48, Los Angeles County, California",CA,null,null,106648
15000US060371066491,150,150,6,37,1,756,756,618,0,0,104,0,34,0,0,"Block Group 1, Census Tract 1066.49, Los Angeles County, California",CA,null,null,106649
15000US060371066492,150,150,6,37,2,1945,1945,1124,18,0,471,0,266,66,0,"Block Group 2, Census Tract 1066.49, Los Angeles County, California",CA,null,null,106649
15000US060371070101,150,150,6,37,1,3175,3175,2086,0,25,57,8,879,120,0,"Block Group 1, Census Tract 1070.10, Los Angeles County, California",CA,null,null,107010
15000US060371070201,150,150,6,37,1,4301,4301,2937,16,10,270,15,1053,0,0,"Block Group 1, Census Tract 1070.20, Los Angeles County, California",CA,null,null,107020
15000US060371070202,150,150,6,37,2,1078,1078,660,0,0,134,0,284,0,0,"Block Group 2, Census Tract 1070.20, Los Angeles County, California",CA,null,null,107020
15000US060371081011,150,150,6,37,1,2307,2307,1468,95,0,529,0,191,24,0,"Block Group 1, Census Tract 1081.01, Los Angeles County, California",CA,null,null,108101
15000US060371081021,150,150,6,37,1,3772,3772,2231,142,0,933,119,158,189,0,"Block Group 1, Census Tract 1081.02, Los Angeles County, California",CA,null,null,108102
15000US060371081031,150,150,6,37,1,1534,1534,939,0,0,588,0,0,7,0,"Block Group 1, Census Tract 1081.03, Los Angeles County, California",CA,null,null,108103
15000US060371081032,150,150,6,37,2,1766,1766,1166,151,40,395,0,0,14,0,"Block Group 2, Census Tract 1081.03, Los Angeles County, California",CA,null,null,108103
15000US060371081041,150,150,6,37,1,1870,1870,1396,5,0,294,0,59,116,0,"Block Group 1, Census Tract 1081.04, Los Angeles County, California",CA,null,null,108104
15000US060371082011,150,150,6,37,1,2028,2028,1082,96,15,748,12,27,48,0,"Block Group 1, Census Tract 1082.01, Los Angeles County, California",CA,null,null,108201
15000US060371082012,150,150,6,37,2,3554,3554,1396,283,0,1563,0,32,280,0,"Block Group 2, Census Tract 1082.01, Los Angeles County, California",CA,null,null,108201
15000US060371082021,150,150,6,37,1,5579,5579,3029,52,43,2165,0,199,91,0,"Block Group 1, Census Tract 1082.02, Los Angeles County, California",CA,null,null,108202
15000US060371091001,150,150,6,37,1,843,843,805,0,0,27,0,11,0,0,"Block Group 1, Census Tract 1091, Los Angeles County, California",CA,null,null,109100
15000US060371091002,150,150,6,37,2,1604,1604,1049,0,0,222,0,333,0,0,"Block Group 2, Census Tract 1091, Los Angeles County, California",CA,null,null,109100
15000US060371092001,150,150,6,37,1,747,747,662,0,0,55,0,3,27,0,"Block Group 1, Census Tract 1092, Los Angeles County, California",CA,null,null,109200
15000US060371092002,150,150,6,37,2,1113,1113,523,3,0,108,0,437,42,0,"Block Group 2, Census Tract 1092, Los Angeles County, California",CA,null,null,109200
15000US060371092003,150,150,6,37,3,896,896,499,17,0,187,0,145,48,0,"Block Group 3, Census Tract 1092, Los Angeles County, California",CA,null,null,109200
15000US060371093001,150,150,6,37,1,893,893,447,76,0,161,0,190,19,0,"Block Group 1, Census Tract 1093, Los Angeles County, California",CA,null,null,109300
15000US060371093002,150,150,6,37,2,1607,1607,1019,85,0,245,0,210,48,0,"Block Group 2, Census Tract 1093, Los Angeles County, California",CA,null,null,109300
15000US060371093003,150,150,6,37,3,886,886,450,103,0,227,0,36,70,0,"Block Group 3, Census Tract 1093, Los Angeles County, California",CA,null,null,109300
15000US060371094001,150,150,6,37,1,932,932,728,52,0,22,0,52,78,0,"Block Group 1, Census Tract 1094, Los Angeles County, California",CA,null,null,109400
15000US060371094002,150,150,6,37,2,1165,1165,506,17,0,132,37,412,61,0,"Block Group 2, Census Tract 1094, Los Angeles County, California",CA,null,null,109400
15000US060371094003,150,150,6,37,3,1615,1615,871,9,0,6,0,714,15,0,"Block Group 3, Census Tract 1094, Los Angeles County, California",CA,null,null,109400
15000US060371095001,150,150,6,37,1,1199,1199,872,0,0,12,0,261,54,0,"Block Group 1, Census Tract 1095, Los Angeles County, California",CA,null,null,109500
15000US060371095002,150,150,6,37,2,2599,2599,1799,6,74,90,0,557,73,0,"Block Group 2, Census Tract 1095, Los Angeles County, California",CA,null,null,109500
15000US060371095003,150,150,6,37,3,967,967,799,0,14,21,0,120,13,0,"Block Group 3, Census Tract 1095, Los Angeles County, California",CA,null,null,109500
15000US060371096011,150,150,6,37,1,1335,1335,716,75,0,279,0,247,18,0,"Block Group 1, Census Tract 1096.01, Los Angeles County, California",CA,null,null,109601
15000US060371096012,150,150,6,37,2,964,964,510,0,0,206,0,208,40,0,"Block Group 2, Census Tract 1096.01, Los Angeles County, California",CA,null,null,109601
15000US060371096013,150,150,6,37,3,1547,1547,669,317,25,161,0,224,151,0,"Block Group 3, Census Tract 1096.01, Los Angeles County, California",CA,null,null,109601
15000US060371096014,150,150,6,37,4,1364,1364,689,29,32,70,0,526,18,0,"Block Group 4, Census Tract 1096.01, Los Angeles County, California",CA,null,null,109601
15000US060371096031,150,150,6,37,1,1057,1057,581,40,0,199,0,225,12,0,"Block Group 1, Census Tract 1096.03, Los Angeles County, California",CA,null,null,109603
15000US060371096032,150,150,6,37,2,1480,1480,773,41,138,254,0,262,12,0,"Block Group 2, Census Tract 1096.03, Los Angeles County, California",CA,null,null,109603
15000US060371096033,150,150,6,37,3,1373,1373,767,89,43,290,0,112,72,0,"Block Group 3, Census Tract 1096.03, Los Angeles County, California",CA,null,null,109603
15000US060371096041,150,150,6,37,1,954,954,684,0,0,111,0,159,0,0,"Block Group 1, Census Tract 1096.04, Los Angeles County, California",CA,null,null,109604
